Character,Quote
dale,RT @hugorifkind: My Week: Donald Trump Jr. (£) https://t.co/uW9saWQeZE https://t.co/EDh13WoTRi
dale,"RT @hectormorenco: Do it France! Blow up the EU and stop the Muslim migration. We'll fix Syria, defeat ISIS and send back the refugees.
htt…"
dale,RT @markus_riga: #Lettland #Latvia: West on war footing after Russian troops mass at border with Latvia and Putin ... - The Sun https://t.c…
dale,#IdRunForPresidentIf siestas were an inherent part of the routine
dale,RT @WDFx2EU7: NEW WASHINGTON POST POLLS - Iowa +5 Trump Ohio +3 Trump Florida +2 Trump Nevada +4 Trump MAGA!! GET OUT AND VOTE! https://t.c…
dale,RT @kevkid79: This should be played at all Liberal Colleges as an entry video.  https://t.co/WJM4KCAUdN via @youtube
dale,RT @bettybrite121: @frodofied Maybe you missed Issa's wink as he covered his ass.  His colleagues know this game. His constituents should f…
dale,"He put the bottle to his head and pulled the trigger, he finally drank her pain away, a little at a time. #BradPaisley ."
dale,"Chris Brown throwing out Black Lives Matter while threatening a woman with a gun &amp; doing drugs
Typical BLM activist! https://t.co/nuLAe5iKoC"
dale,"Mad Manitoba"""
dale,"RT @R0NlN: Not ""will""... ""do"". https://t.co/q21yCNylVc"
dale,"RT @AuditTheMedia: Here it is. The granddaddy of them all - proof that HRC, DNC, WJC and Obama are working together illegally.… "
dale,RT @cjkpilot: Lock her up #LostIn3Words https://t.co/1R2RXDmDak
dale,"RT @TEN_GOP: American blacks stand with Police!👏👏
#UnityIn5Words https://t.co/9mA25f9Gzu"
dale,Where is this clown Kanye West? Bush is gone so liberals don't care about Louisiana. Typical for hypocrites. https://t.co/S47zcB4BKg
dale,RT @HackGameAndroid: ACE FISHING #acefishing #Cheats #Generator #gamers #Resources #Download #games #Hacked https://t.co/CAoSHl3EyK
dale,RT @PatVPeters: Parent Outraged After 6th Grader Forced To Learn Islamic Conversion Prayer In Class https://t.co/uH35CFpHle
dale,RT @tlcprincess: #mychildhoodhome is my favourite place in the whole world.
dale,RT @MajorCraigA: NoTrumpeounus! To make all of your Trump supporting relatives not mention his name at #thanksgiving &amp; #Christmas #RealLife…
dale,RT @TYCASHH: God will answer your #prayer when the time is right.
dale,"RT @AnnCoulter: On refugees, Trump wants to create safe zones in Syria.  Democrats want to create politically correct danger zones in Ameri…"
dale,"This is a must-read. Clinton must be in prison
Clinton’s middle-class ride - https://t.co/Y0nsoVgPFE"
dale,RT @randyshort: BOMBSHELL: THE CLINTON CARTEL EXPOSED Pt.1 https://t.co/FJfaIf0WFp via @YouTube
dale,"We are social animals and it is in our own interest, if we want to live a happy life, to think of the rest of humanity."
dale,RT @GenGod77: The Architecture and Art of Egypt (Kemet): The Etching and Encryption of Dynasties I to IV - https://t.co/tJJem30KNL
dale,RT @DrinkNForte: @realDonaldTrump @KellyannePolls @tponews ABC Anchor says Hillary is dead by mistake was she going 2 fake her death? https…
dale,RT @JulietteLewis: ✌️👏👏👏👏👏👏👏 https://t.co/skhcM4H5ZN
dale,RT @Freedom_Daily: BREAKING SHOCK VIDEO: Democratic Staffers Admit To Rigging Elections For 50 Years On Unde... https://t.co/5sBCqPbqJ8 #Ob…
dale,"RT @SoCal4Trump: Trump: ""Our nation should not accept one lost American life because our country failed to enforce its laws.""
#Truth https:…"
dale,"Man's Trump T-shirt sparked crowbar attack, cops say"
dale,"@ManuelaSchwesig Sehr geehrte Frau Schwesig, würden Sie für #Merkel Stimmen geben? #MerkelMussBleiben"
dale,"RT @schofey27: ""Hey, I fucking tried, right?""
#POTUSLastTweet https://t.co/twWK8M5QL3"
dale,#SecondhandGifts invention of radio
dale,RT @BreitbartNews: “Taxpayer dollars intended for Haiti and the earthquake victims went to a lot of the Clinton cronies.” https://t.co/bRGS…
dale,RT @blhills: Duh. Why sit with a rude self righteous bitch like @megynkelly to discuss lies and marginalize his character #tcot… 
dale,James Johnson drops the hammer! Toronto Raptors https://t.co/tma80Q9gxG
dale,"RT @FoxNewsResearch: U.S. is the global leader in accepting immigrants, taking in about 1M a year

From 2010-15:
US: 5M+
Turkey: 2M
Germany…"
dale,"RT @UnPoliticalPrty: True @frankiblac Hillary Clinton would continue Obama's destruction of the USA by releasing criminal #IllegalAliens

h…"
dale,"RT @BooyahBoyz: Chelsea Clinton
YO MAMA Lies over the OCEAN
YO MAMA Lies over the SEA
YO MAMA Lies 2 EVERYBODY
When Talkin Bout #BENGHAZI
#…"
dale,So sad this happened Yet again! 🙏🙏  #Prayers4California
dale,RT @FOX59: Indianapolis couple finds World War II medals inside dresser from Goodwill. https://t.co/l2uJZG6b99 https://t.co/qlHoSoBI4i
dale,RT @realkingrobbo: BREAKING: ANOTHER WITNESS COMES FORWARD ACCUSING BILL CLINTON OF RAPE https://t.co/GT8my1KDNq #crookedhillary #imw… http…
dale,"RT @gerfingerpoken2: (IBD) Obama's Rogue #IRS Strikes Deal With FFRF 2 Monitor Churches, Not Mosques - https://t.co/VCtHHFseQp  - https://t…"
dale,RT @MatthewACherry: Images matter.  Do better @CNN #samdubose http://t.co/lZqGKwI53o
dale,RT @100PercFEDUP: ARROGANT ILLEGAL ALIEN Who Voted 5 Times In 2016 Election Gets 8 Years…Lawyers Call Sentence “Harsh”…Blame... https://t.c…
dale,RT @ChrixMorgan: #AlternativeAcronymInterpretations GoT – get on top https://t.co/Mr9dFmlzfG
dale,RT @SCOTTGOHARD: that new you doesn't have to wait... https://t.co/JxalTvPesh
dale,Mississippi voices from the DNC in Philadelphia  #news
dale,"RT @tteegar: When .@realDonaldTrump overflow Trump's @HillaryClinton ""packed house"" of 500!
Ignore media! #VoteTrump &amp; #TrumpWins https://t…"
dale,"Third-party backers may still change their minds in 2016 election, poll shows https://t.co/4u8fQXcmtk"
dale,"RT @scottwilks: #ProbableTrumpsTweets

Elections are all RIGGED! Unless I win with less votes than my opponent!"
dale,RT @TwitchyTeam: Marc Lamont Hill calls Trump’s ‘Diversity Coalition’ a collection of ‘mediocre Negroes’ https://t.co/jkPsridsWX
dale,#IslamKills politicians need to stop defending #ISIS #Brussels
dale,RT @finy06: @halosday @marylene58 @pjamesjp1 @tgradous @Thorayn5 @marylener9 @pereira_ariela @p_atira @Karee_news #idiot https://t.co/zXl30…
dale,"RT @she_nutt: Omg no, you can't follow me 12,13,14,15 year olds. Go play on IG."
dale,RT @LibertyBundle: RT : Call the US Capitol and let them know that you OPPOSE SYRIAN REFUGEES in the United States! 1-202-224-3121 Give ur …
dale,RT @SherryForChange: @JesseRodriguez We warned them. Now keep up the good work! Continue to #BoycottHollywood Put #refugeecamps in #Beverly…
dale,"RT @candicotton: We are not the victims of circumstances , instead we are the creators of our own experiences. #knowthyself"
dale,"Trump: ""Our compassion must be for OUR American citizens.""
 #Phoenix https://t.co/qcYOsDVc8R"
dale,"'White People to the Back!': Black Lives Matter Segregates Media by Race 
https://t.co/8eGaiUrtIB

#DemsInPhilly https://t.co/nfJH3VT0Je"
dale,RT @TorstenBeeck: Macron gets Lucky. https://t.co/6R7RUICJOB
dale,"RT @NOrleansDaily: LSU will trot Zac Person out for start vs. TCU, but 'Jack Wholestaff' is on call  #news"
dale,"RT @Quinntessence_: Ok...if you really want a #SurvivalGuideToThanksgiving. 1. Hotel. 2. If you are an ""out."" delay the sh^t out of everyth…"
dale,#LastMinuteGifts2016 https://t.co/2ScI2cv1cl
dale,RT @karlymeyer0: I gotta get away from all of this....
dale,NO JOKE: FIDEL CASTRO JUST ENDORSED BERNIE SANDERS https://t.co/QDTWHaGnej via @YouTube #CCOT #PJNET #ORPUW #tcot #TGDN
dale,RT @DaSportsSavant: Baltimore's own @Gervontaa with a knock out of Jose Pedraza to become the youngest champ in boxing!! RT and show love #…
dale,RT @realDailyWire: 'GOP Elders' Push 'Carbon Tax' On Trump https://t.co/FTAnWsFyGX
dale,"RT @IanPTrait: March 2016: What happens when #Muslims in #Cologne are asked about 2015 New Year's rape riot?
#EzraLevant
https://t.co/Zef86…"
dale,RT @Raging_Red: Hillary Clinton’s Vulgarity Makes Trump Look Like Shakespeare! https://t.co/NnmcRRqN9l via @sharethis
dale,I'm still and always in love with the person you used to be.
dale,RT @YaBoyColeJones: FBI= Forget Bout It #AlternativeAcronymInterpretations
dale,RT @restingmomface: #ThingsDoneByMistake not put the coffee lid on correctly. https://t.co/keby4JWraJ
dale,"RT @promisedamutant: Where is your outrage???

If someone doesn't stand up for the national anthem the world explodes....
Yet soldiers... h…"
dale,RT @TrueZachD: #ThingsThatShouldBeCensored Donald Trump's twitter account.
dale,Point Breakin' #AddAMovieRuinAMovie
dale,"The part of Colin kaepernick's speech the media will never show you...
#Kaepernick https://t.co/mOvwmEiY3B"
dale,RT @B_RightMusic: I have to keep re-teaching myself to stay humble..
dale,RT @YoungDems4Trump: Show this to those who don't fully grasp the severity of @HillaryClinton's email breach. Because the media won't. http…
dale,RT @NYDailyNews: SEE IT: A loose pig left a disgusting mess in the backseat of a Michigan police car. http://t.co/RP8I3jhA6x http://t.co/YG…
dale,"RT @TXIndepndnt1836: 93 days, 13 hours and The Great Divider will go down in history as the worst person who ever was POTUS."
dale,RT @RealAlexJones: Does the ride-sharing company protect their customer's privacy?  - https://t.co/bNfxqU8ZQC  #uber
dale,"RT @Far_Right_Watch: #HolocaustMemorialDay 

Remember.

Because if we forget ... it happens again. https://t.co/GyTjpHABlw"
dale,RT @YoungBreedCCC: Start a hotline if u a advice giver! 🤷🏾‍♂️ #GotAllDaWrongAnswers 🤦🏾‍♂️
dale,"RT @I_am_not_E: #ChristmasAftermath
Ham &amp; eggs for breakfast 
Ham sandwich for lunch 
McDonalds for dinner because u can't even look at a s…"
dale,Trump transition tests outsider's governing ability  #politics
dale,RT @RealDonalDrumpf: Russia is arming the Taliban. And Republican Senators are taking away your healthcare. The terrorists are winning!
dale,RT @TeeTweetsHere: @morningmika discuses Aleppo atrocities &amp; blames @POTUS Horrific tragedy yes but what about all children slaughtered by…
dale,RT @RNRMaryland: All In Kinda Crazy is about to take stage #America turn the channel kill the ratings! #PepsiHalftime #SuperBowl #RedNation…
dale,"RT @rlocker12: Obama: If Gulen is extradited to Turkey, it will be at the end of a lengthy, ""well structured and well established process."""
dale,RT @BIZPACReview: 3 Texas Trump supporters left a black liberal DC waitress a YUGE tip and a note that changed her life https://t.co/rbc5mr…
dale,"RT @Joy_Villa: Stay beautiful, stay courageous. Be bold...no more hiding! https://t.co/9qpiG12b4a"
dale,The Bushes have consistently damaged the Republican Party #JebWeCan #ILoveHillary #IloveObama
dale,Donald Trump blasts NY Times after story about 'sputtering'... https://t.co/JXEhYAYvaU | https://t.co/aXQaNDGlF7 https://t.co/O6PV4spkHs
dale,Christina Aguilera - Christina Aguilera Dirrty Lyrics https://t.co/0N9h3RDDyQ #WakeUpAmerica #teaparty #tcot
dale,RT @LaurenJonesGOP: VIRAL VIDEO : Democrats All Call System “RIGGED”….(BUT Trump is Not “Allowed” To????) https://t.co/BlXzYgRY2M https://t…
dale,"If you bungle raising your children, nothing else much matters in life. – Jacqueline Kennedy Onassis"
dale,"'Trump will show 0 tolerance for people calling for the death of police officers'~ Newt Gingrich
#TrumpIsWithYou https://t.co/bBd5nBt4Vy"
dale,#TopNews Trump praises 'stop-and-frisk' police tactic
dale,"Malia Obama skipped the DNC to party at Lollapalooza.
So what?
Can't she be a normal teen for once? https://t.co/cCLio0Xo2B"
dale,Donald Trump and Mike Pence add last-minute Labor Day campaign stops in Northeast Ohio https://t.co/UXPoEARg0p #politics
dale,"RT @jstines3: Satisfy us in the morning with your unfailing love, O Lord! 

#RenewUS #WakeUpAmerica #CCOT #TCOT #PJNET #1A 

https://t.co/2…"
dale,RT @_Official_Erika: Drunk by Ed sheeran 😎  #DrunkSongs
dale,"What if The Syrian refugees are Isis militants, that would mean some U.S states would be taking in Isis militants #IslamKills"
dale,"RT @TEN_GOP: Photo of the day: Hillary supporter sleeps on floor at #Philly rally!😂
#ImWithHer 
#mondaymotivation https://t.co/4S8gRgpYdm"
dale,"RT @DaveBeCrazy: #RuinADinnerInOnePhrase So, you still root for those Cheatin' Patriots?"
dale,"RT @Conservatexian: New post: ""Report: Russian cybergang scored millions in fake-ad scam"" https://t.co/XseHNDKmBt"
dale,RT @DominicValent: #WhatIWantForChristmasIn4Words a cute ass boyfriend
dale,I blame the hackers #NotMySuperBowlChamps
dale,"RT @LibertyHeadline: Unseemly New #Clinton Foundation Ties to the #Kremlin &amp; State Dept
https://t.co/WrDA08ucdh https://t.co/y8d61UNbcb"
dale,RT @JohnTmurphy: I've had better but the food was OK too  #ruinadinnerinonephrase
dale,RT @The2ndA: @LeahR77 @JaynePenelope https://t.co/txgttx3TJF
dale,Slumdog Billionaire #RichMovies
dale,"RT @NubianAwakening: Leaked email shows that in 2015, the Clinton Foundation 'made contact' with  fiercely non-partisan (😂😂) pundit… "
dale,RT @BabyGirl_4Trump: #NYPrimary #NeverCruz #AlwaysTrump #CruzSexScandle #MakeAmericaGreatAgain  #TrumpTrain #NewYork4Trump #Trump2016 https…
dale,"Let’s not let the liberals restrain Constitution, vote for #Trump #GOPDebateSC"
dale,#OtherThingsToDoIn6Seconds https://t.co/DoGHmKMXxs
dale,"RT @Vinny_Vino: Hillary's vicious attacks, blatant lies, and deep corruption have met their match. #ImNotWithHer #TrumpPence16 https://t.co…"
dale,RT @karyn_poupee: Et ça continue... https://t.co/vdooLasgoO
dale,"RT @gblardone: Les Internets ça n'oublie pas.
Quelle cruauté..
#INA #Tiberi 
https://t.co/A3uAXMjRjm"
dale,"RT @stevewightman1: Honoring #USMC SSgt Aaron J Taylor, died 10/9/2009 in Afghanistan. Honor him so he is not forgotten. https://t.co/PY8J6…"
dale,Trump to Detroit: ‘We’re all brothers and sisters’ https://t.co/odI7YGunbf
dale,RT @beforeitsnews: SniffPhone: Soon Smartphones May Diagnoses Disease from Your Breath https://t.co/vhlUTZVfdB https://t.co/dlEoVHpAIq
dale,"RT @immigrant4trump: .@MaddieAndMichi My Story: ""I'm a Hispanic Woman and I Worked for Donald Trump"" #LatinosWithTrump #Debate #Maga https:…"
dale,RT @SuthrnwindnTx: @fredwimpy How is that different than children neighbors &amp; co-workers reporting to the Gestapo if they spoke disparaging…
dale,Here's the real terrorists #tcot  #DemDebateMiami https://t.co/rVSlnRvdp7
dale,"RT @AristotleBAM: ⚡️ new. film. almost. done. 🙏🏽

#VXA #LetsMakeMovies https://t.co/Ija5kxchRE"
dale,RT @Tall_Midg3t: #IfHillaryBecomesPresident Trump will finally go bald from frustration
dale,"RT @MollyMcKew: - agree to permanent neutrality for Ukraine
- lift sanctions because by then they don't matter anymore
/2"
dale,"RT @redi2fly: What ever is ailing U fret not, bcos this script works. It Cures everything! Just follow the instructions &amp; I promise, U're g…"
dale,"RT @Blacks4DTrump: ""We’re all brothers and sisters and we’re all created by the same God. We must love each other..."" ~ Donald Trump https:…"
dale,"RT @ZulaQi: ""Donald Trump Will SUE Hillary Clinton For Quoting His Stupid Mouth Words Verbatim"" https://t.co/8wvnmwZqpq"
dale,"RT @geomblog: More on bias from the BBC, where I plug the actual research people do to fix bias in algorithms. https://t.co/MdwyhWYd4Z"
dale,"Dear Liberals, how many of you have actually read the US Constitution? Because I think you're missing something rio… https://t.co/eB6JLmCmtU"
dale,RT @BlckNews: 14 Vintage Celebrity Selfies Before Smartphones https://t.co/gULMbXQexk
dale,Mike Pence refuses to call David Duke ‘deplorable’ https://t.co/j6WR39nUz9 #news
dale,"RT @CandaceSmith_: GREEN BAY, WI-- @realDonaldTrump: 'Hillary Clinton is the most corrupt person ever to run for the presidency.' https://t…"
dale,RT @pnehlen: America cannot move at the pace of Speaker Ryan's donors. #FireRyan
dale,"RT @LadyLiberTea: I've always believed Hillary's Benghazi betrayal was to close the lid on evidence. You, @TGowdySC? ►https://t.co/LPEU0Jpw…"
dale,RT @JohnKStahlUSA: This shill is the poster boy for the alt Left black supremacist movement. He is a disgrace. #tcot #ccot #gop #maga https…
dale,"RT @beforeitsnews: 3.6-Million-Year-Old Footprints Imply That an Ancient Hominin Was a Tall, Dominant, and Polygamous Male  https://t.co/Yv…"
dale,RT @Tomaskenn: Deltravis Williams asking @MiamiDadeDems to stand w/ black community &amp; hold @KathyFndzRundle accountable for inaction on pol…
dale,RT @MRSTXFabFace: https://t.co/MaHz13sHbc
dale,"RT @zerohedge: ""Pulling Awesome Forward"" https://t.co/gwIXwspjr8"
dale,RT @ImReppinBoston: https://t.co/41W5U9lQGM
dale,RT @Baileey_C: Just laying down chilling https://t.co/jAPacOV1uC
dale,"Wow Wow
MUSLIMS THREATEN “IF DONALD TRUMP WILL BE THE PRESIDENT, WE WILL LEAVE THE US” #TrumpEnMexico #TrumpAZ 
https://t.co/KWUnCQJkPX"
dale,"RT @RacySicilian: MT @DuluthGAPolice: #InHonorOf those who served, 800 flags and crosses are placed throughout Duluth. https://t.co/Czfu3w8…"
dale,"RT @DykstraDame: Dear Inspector General,
Have you found the $6 Billion yet that went missing while Hillary Clinton was Secretary of State?…"
dale,"RT @Conservatexian: New post: ""Box Office: 'Hidden Figures' Dominates MLK Weekend as 'Live by Night,' 'Monster Trucks,' 'Silence' Coll… htt…"
dale,"RT @natturnerx65: @blicqer  There is NO WAY-----that Donald Trump could be worse for black people than Obama

Based on these things https:/…"
dale,"RT @MartiniShark: ""America needs a leader who ignores Spellcheck!!!""
@realDonaldTrump 
https://t.co/k95rAp3CZO"
dale,RT @Cernovich: Lady GaGa comes out as alt-right. #ImVotingBecause https://t.co/9RhUG5hVUL
dale,"Takeaways: Sanders, Michelle Obama dominate convention https://t.co/Gk4xITMeUq #news"
dale,RT @jimwaterson: Labour MP inside the PLP meeting shouts at MPs inside the meeting for texting journalists outside the meeting. They're rea…
dale,RT @MentonGini: History is a terrible thing for Democrats to waste https://t.co/1XkKDhPfQd
dale,RT @ZaibatsuNews: Ex-Trump campaign chair Manafort under scrutiny for $19 million worth of shady real estate loans https://t.co/T0jiS3kkiy…
dale,RT @grammy620: I don't believe #Rubio just said on @FoxNews that he is a no show in the Senate because Washington is broken. https://t.co/B…
dale,RT @BrokeJackJonson: We all gonna have to get together and pray on the 19th. Pray that the Lord move these Electors to not certify this man…
dale,I have never met a man so ignorant that I couldn't learn something from him.
dale,RT @Blavity: Michelle Obama denounces Donald Trump in the most impactful message you'll hear this election… 
dale,RT @TheRealWHH: #IdRunForPresidentIf they'd let me do it a third time
dale,"Generosity, freedom, and love will create the most beautiful relationship: an ongoing romance."
dale,"I regret so much that Europe is lost forever! 
Was it worth it to become ""culturally enriched""? https://t.co/NMCaMDYMh8"
dale,RT @RamCoban: 10 Clothing Mishaps Oops (10 pics) http://t.co/4jKhPWdk1L
dale,"RT @KeshaTedder: @SugarGretel @ZenRand @AFrikkinHashtag @Johnsense38 I wasn't around, he was forced to write his own."
dale,RT @kimical_X: And madness. We are all mad in this country as it is the only way to deal. https://t.co/SyEgFdi0nX
dale,"RT @ChrsView: #RuinADinnerInOnePhrase Oh, oh... peanuts https://t.co/gcUrQT0WMB"
dale,"RT @nine_oh: .LittleBigTown covers Tim McGraw's ""Humble and Kind"" on Grand Ole Opry's Radio Replay (premiere)… https://t.co/lY4qn6yW4b"
dale,"RT @lordjamar: #Repost @sambabeatz
・・・
Its easy to look lyrical in a room full of half way terribles!… https://t.co/GuK35LRNxD"
dale,RT @Gawker: Amy Winehouse's father Mitch is full of shit http://t.co/veLfG9dLrX
dale,RT @careersinafrica: Make farming a rewarding career for #Africa's youth https://t.co/DyBAta1YK8  via @SciDevNet #education https://t.co/JV…
dale,"RT @PamelaBwell: #RejectedDebateTopics: The Sexy Factor 
(ick)"
dale,"RT @RobHoey: Priebus calls Russian story ""garbage'

https://t.co/xJJe6UpJR7"
dale,RT @BIZPACReview: Pathetic celebs now planning to add an online ‘love-a-thon’ version of their Inauguration Day protest https://t.co/4w8mYM…
dale,RT @TeamBlockHead: #ThingsNotTaughtAtSchool Taxes. Seriously. I haven't used trigonometry in the last 5 years.
dale,RT @RiseUp75: #StopSaudiGenocideInSaada   https://t.co/pozoaYWsXI
dale,RT @gmsgirl: @redsteeze He's wearing a hat - what's he hiding?
dale,RT @FrugalStartups: 8 Great Daymond John Motivational Business Quotes  https://t.co/Gge0bl0UbK   #SharkTank #Startup #Entrepreneur #B2B htt…
dale,"RT @loveiskills: I normally have full control of my internal monologue, but the moment it starts singing I can never shut it up."""
dale,"RT @BabyJannyMeow: #SometimesTwitterMakesMe stay up, juuuussst a little while longer"
dale,RT @beforeitsnews: Study shows how some plants developed a taste for blood https://t.co/t1iRdDNZ06
dale,RT @ChristiChat: MT @kk02430: #climatechangescam #WakeUpAmerica http://t.co/bINHFEyTgA #PJNET #JunkScience
dale,RT @swhotmess: @jd_Constitution TYSM....I needed that!
dale,"RT @thePatriciaRae: #FakeOktoberfestFacts
Beer 🍻 bunnies are so sexy https://t.co/ZsHRMBXj4h"
dale,RT @DRUDGE_REPORT: Tragedy as 97-year-old twins freeze to death after falling outside home... https://t.co/exFl5yZ41X
dale,RT @WyzeChef: Troy? Word? https://t.co/htGxkoz8x3
dale,RT @ZaibatsuNews: FBI warns of possible Islamic State-inspired attacks in US: CNN https://t.co/U5aI9fAP9u #p2 #ctl https://t.co/YYRLm2MPbH
dale,RT @tariqnasheed: So the DOJ will NOT charge the race soldiers who violated the Constitution &amp; executed #AltonSterling in cold blood. White…
dale,"RT @oldpicsarchive: The reunion of ‘The Sound of Music’ family 45 years later. / Rare Photos, Part 2 (34 pics)  https://t.co/0I9PJIpfgd htt…"
dale,"Bill &amp; Hillary in deep water tonight. 
#debate https://t.co/Ibd3hkA3Fd"
dale,RT @UTHornsRawk: Breaking news breaking news breaking news #WikiLeaks #DeleteHillarynNov8 #pjnet #WednesdayWisdom #Haiti #ImWithHer #JamesC…
dale,GOP slams Obama after explanation of $400M payment to Iran https://t.co/HGS6lbPLIN #news
dale,#HonorForTheBrave There a lot of people who deeply respect our police and our law! Thank you for what you do! https://t…
dale,RT @genophilialove2: A heart warming moment from #BlackTwitter two brothers together ❤️❤️ in fact it looks like they could be twins. https:…
dale,#IHatePokemonGoBecause my house is a Poke Stop. https://t.co/ESFe9cvMyI
dale,"RT @RiepTide1999: #ItsNotAWasteIf
you get some complimentary peanuts out of the flight"
dale,RT @KathyMicale: I think @seanhannity just went ahead of @megynkelly as most watched on @FoxNews. Maybe that's the problem https://t.co/Vho…
dale,"RT @AP: MORE: Cost of California oil spill cleanup reaches $69 million so far, official says: http://t.co/LueRqHthNx"
dale,RT @RotNScoundrel: Righting on the Wall by @JBaileysMom  Every Time Interrupting Tim Kaine Disrupted The #VPDebate https://t.co/s0H8BRA1aZ
dale,"Everyone is Brilliant, Fearless, and Always Knowledgeable About The Topics They Speak On"
dale,RT @AltRightyThen: Norway to propose jailing Merkel Muslims whose asylum claims are bogus: Good on Norway. T... https://t.co/ISWi0NVcK8 #is…
dale,"RT @CJLawrenceEsq: Quick question, y'all ever seen a news outlet do an RIP for Trayvon, Mike Brown, Sandra Bland, or Houston native Kenny R…"
dale,"RT @trueblacknews: “No Trump, no KKK, no fascist USA.”  Rock Band berates Trump Regime during AMA performance #notmypresident #Blacklivesma…"
dale,RT @JoshDeMaria: #ItsUnacceptableTo Call yourself a wrestling fan if you don't follow @CurtStallion
dale,"RT @NolanHack: Black girls are 17% of female students, 43% of girls arrested at school. #BlackLivesMatter"
dale,RT @BevanSlattery: Buying first set of @RedFlowLimited batteries for the office this week.  Can't wait @simonhackett  https://t.co/KdyfDckQ…
dale,RT @VolunteerPhil20: https://t.co/wmw6wGL5a6
dale,RT @elonjames: My reaction every time I hear about Donald Trump's Black outreach... #TWIBnation https://t.co/IpjuZmqq94
dale,Voting for Trump #LostIn3Words
dale,RT @iAmTooRaww: Only For Her 😭❤️ https://t.co/swEeVgIogh
dale,RT @bushhog1953: Yes. https://t.co/Bm9gYFtGjp
dale,#IslamKills Praise God and these brave mayors for take care of us.  #Brussels
dale,"RT @latimes: Mexican boxing fans are excited for Pacquiao-Mayweather fight, but disappointed it won't feature one of their own http://t.co/…"
dale,"RT @BlissTabitha: Chicago PD On Torture Case: ‘Kids Make Stupid Decisions’, Nothing Yet To Indicate Has To Do With Politics, Race… https://…"
dale,RT @TimothyGilmer: #WhatILearnedToday let's get this straight it's @DocThompsonShow s fault. He's a white christian male. It's obvious @bri…
dale,RT @bbrewerstandup: #IHaveARightToKnow why Adele has called me like 1000 times.
dale,The #2A IS my gun permit!   #PJNET #TCOT #CCOT #NoGunControl
dale,RT @Edwardaespinoza: Never Locks the Door the Elf  #BetterElfNames https://t.co/aLPYY9nys5
dale,RT @Apodcalypse: Homophones #ThingsYouCantIgnore
dale,RT @MrsConetwothree: @Daily_Express Give it a few months they'll find him living in Molenbeek going about his daily life with full support …
dale,"RT @frLarousse2: Trump to Issue Order Limiting US Involvement in UN https://t.co/BZ5ZAcN1Kj
@BringtheFlag @Pudingtane @KBinSC @NMLifestyles…"
dale,RT @viewfrommyoffic: @BrettFishA @KeshaTedder https://t.co/dH3Mgib6th
dale,Skittles Pox? Are they contagious? Only for refugees #TrumpAQuote https://t.co/vNZeQXu5SV
dale,🤔🤔 https://t.co/mKNfqibpgW
dale,https://t.co/Y0tsebG1Eb Rude #cop assaults a #homeless man who was going to visit bathroom in bus terminal. Man arrested…
dale,"@SpeakTruth20 The DNC uses minorities to their own political advantege.
Clinton helped send their son war, but they blame @realDonaldTrump"
dale,RT @doktordab: Bei Krawallen in #Schanze sollen auch Rechte mitrandaliert haben. Gemengelage immer chaotischer / via @umsturzvegan  https:/…
dale,'Obamacare is the worst thing that happened in this nation since slavery.' - Ben Carson https://t.co/rZ1gPl86ay
dale,RT @realDonaldTrump: My thoughts and prayers go out to the @PhillyPolice &amp; @Penn police officers- in Philadelphia. https://t.co/eyC3W1mweY
dale,https://t.co/lUJEGUJ4ED ouch!
dale,RT @FreedomChild3: Reuters Poll: Trump Likely to Win Florida @Miami4Trump yes #FloridaForTrump #MAGA #GoTrump #GodBlessUSA ❤️🇺🇸🇺🇸🙏🙏 https:/…
dale,RT @TechCrunch: Trump’s inauguration broke live video streaming records https://t.co/lBMptkm4Qa
dale,"A disabled boy was booed at a Trump rally. The next day, he got to meet President Obam... https://t.co/z3zKPSbsED https://t.co/5yxYAlZKeG"
dale,RT @tamilartist: Dancing all Night https://t.co/Od5rOTJLh1
dale,Shove a peanut up your nose. #OtherThingsToDoIn6Seconds
dale,RT @AJDelgado13: TRUMP/LIBYA https://t.co/nCcGkDm8dd
dale,"RT @NewBlackMan: ‘Trump is not a deep reader...History is beginning to sketch him out + tweets can't stop its pen’--Charles Bane, Jr. https…"
dale,"MURDER
Another disabled unarmed man murdered by police
He was reading while he waited for his daughters bus
It neve… https://t.co/tgBFTmejKp"
dale,"RT @TimBurt: God does not discriminate. He blesses all who reverence Him. Psalms 115:13 ""He will bless those who reverence the Lord both gr…"
dale,#IShouldGetAMedalFor being very bad at talking to peoplr
dale,RT @Kamani1147: Wallace is a Dem/lib shill. https://t.co/5lsOLStZTy
dale,RT @iLoveGENEJANE: A Mom Ran Into Hillary Clinton Walking Her Dog In The Woods And It Made A Lot Of People Happy https://t.co/VXAxQYfaB8
dale,RT @y2daddy: #BetterAlternativeToDebates Drinking bleach
dale,#DumbGenieWishes make Obama white
dale,"#RichMovies @midnight https://t.co/Hlq6GXccHQ"""
dale,RT @I_Hunt_Things: #SingleSurvivalTips https://t.co/BFEI3j7CQ2
dale,"#BetterAlternativeToDebates Fart, sneeze jump at once contest"
dale,RT @Conservative_VW: Just Sayin' 🤔🤔 https://t.co/redkzu1NAh
dale,RT @sandgnatlawson: No! They are totally corrupt and under obama's thumb. They have got to go!  https://t.co/vY27btzKCX
